County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany,County Total,2010,,11036.0,1182.0,3.0,61.0,367.0,751.0,9854.0,1594.0,7905.0,355.0,Non-New York City
Allegany,County Total,2010,,841.0,89.0,0.0,11.0,6.0,72.0,752.0,161.0,577.0,14.0,Non-New York City
Bronx,County Total,2010,,34008.0,12070.0,127.0,191.0,4647.0,7105.0,21938.0,3223.0,16552.0,2163.0,New York City
Broome,County Total,2010,,6207.0,499.0,7.0,45.0,116.0,331.0,5708.0,974.0,4646.0,88.0,Non-New York City
Cattaraugus,County Total,2010,,2019.0,181.0,1.0,22.0,15.0,143.0,1838.0,431.0,1365.0,42.0,Non-New York City
Cayuga,County Total,2010,,1765.0,158.0,0.0,13.0,14.0,131.0,1607.0,305.0,1276.0,26.0,Non-New York City
Chautauqua,County Total,2010,,3865.0,312.0,2.0,42.0,65.0,203.0,3553.0,828.0,2640.0,85.0,Non-New York City
Chemung,County Total,2010,,2080.0,203.0,4.0,11.0,39.0,149.0,1877.0,399.0,1431.0,47.0,Non-New York City
Chenango,County Total,2010,,983.0,54.0,0.0,16.0,4.0,34.0,929.0,191.0,722.0,16.0,Non-New York City
Clinton,County Total,2010,,1830.0,87.0,3.0,21.0,11.0,52.0,1743.0,323.0,1382.0,38.0,Non-New York City
Columbia,County Total,2010,,1213.0,94.0,1.0,10.0,8.0,75.0,1119.0,237.0,859.0,23.0,Non-New York City
Cortland,County Total,2010,,1066.0,65.0,0.0,10.0,11.0,44.0,1001.0,237.0,727.0,37.0,Non-New York City
Delaware,County Total,2010,,766.0,63.0,2.0,8.0,3.0,50.0,703.0,212.0,468.0,23.0,Non-New York City
Dutchess,County Total,2010,,5937.0,724.0,12.0,43.0,210.0,459.0,5213.0,997.0,4063.0,153.0,Non-New York City
Erie,County Total,2010,,32568.0,4528.0,62.0,234.0,1684.0,2548.0,28040.0,6534.0,19672.0,1834.0,Non-New York City
Essex,County Total,2010,,523.0,37.0,0.0,9.0,0.0,28.0,486.0,157.0,314.0,15.0,Non-New York City
Franklin,County Total,2010,,943.0,57.0,0.0,16.0,1.0,40.0,886.0,246.0,613.0,27.0,Non-New York City
Fulton,County Total,2010,,1689.0,123.0,1.0,17.0,17.0,88.0,1566.0,359.0,1153.0,54.0,Non-New York City
Genesee,County Total,2010,,1462.0,107.0,0.0,17.0,20.0,70.0,1355.0,232.0,1089.0,34.0,Non-New York City
Greene,County Total,2010,,836.0,92.0,0.0,8.0,9.0,75.0,744.0,226.0,485.0,33.0,Non-New York City
Hamilton,County Total,2010,,52.0,4.0,0.0,1.0,1.0,2.0,48.0,17.0,29.0,2.0,Non-New York City
Herkimer,County Total,2010,,1374.0,169.0,0.0,16.0,7.0,146.0,1205.0,268.0,913.0,24.0,Non-New York City
Jefferson,County Total,2010,,2434.0,220.0,6.0,20.0,27.0,167.0,2214.0,394.0,1766.0,54.0,Non-New York City
Kings,County Total,2010,,57172.0,16514.0,222.0,323.0,6684.0,9285.0,40658.0,6421.0,30900.0,3337.0,New York City
Lewis,County Total,2010,,462.0,25.0,0.0,3.0,2.0,20.0,437.0,186.0,235.0,16.0,Non-New York City
Livingston,County Total,2010,,1157.0,47.0,2.0,10.0,5.0,30.0,1110.0,145.0,957.0,8.0,Non-New York City
Madison,County Total,2010,,1295.0,53.0,1.0,10.0,7.0,35.0,1242.0,219.0,999.0,24.0,Non-New York City
Monroe,County Total,2010,,26186.0,2823.0,47.0,159.0,960.0,1657.0,23363.0,5235.0,17099.0,1029.0,Non-New York City
Montgomery,County Total,2010,,1163.0,72.0,1.0,2.0,12.0,57.0,1091.0,200.0,861.0,30.0,Non-New York City
Nassau,County Total,2010,,20320.0,2344.0,28.0,81.0,1077.0,1158.0,17976.0,2653.0,14170.0,1153.0,Non-New York City
New York,County Total,2010,,51297.0,8829.0,70.0,282.0,3787.0,4690.0,42468.0,2967.0,38514.0,987.0,New York City
Niagara,County Total,2010,,7209.0,835.0,5.0,54.0,248.0,528.0,6374.0,1708.0,4421.0,245.0,Non-New York City
Oneida,County Total,2010,,6238.0,587.0,7.0,46.0,175.0,359.0,5651.0,1208.0,4277.0,166.0,Non-New York City
