County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany,Albany City PD,2013,12.0,4881.0,796.0,8.0,32.0,228.0,528.0,4085.0,702.0,3243.0,140.0,Non-New York City
Albany,Albany County Park PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
Albany,Albany County Sheriff,2013,12.0,147.0,5.0,0.0,0.0,0.0,5.0,142.0,38.0,99.0,5.0,Non-New York City
Albany,Albany County State Police,2013,12.0,186.0,8.0,0.0,3.0,0.0,5.0,178.0,17.0,159.0,2.0,Non-New York City
Albany,Altamont Vg PD,2013,12.0,18.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,17.0,0.0,Non-New York City
Albany,Bethlehem Town PD,2013,12.0,456.0,13.0,0.0,0.0,3.0,10.0,443.0,50.0,388.0,5.0,Non-New York City
Albany,Coeymans Town PD,2013,12.0,125.0,39.0,0.0,2.0,0.0,37.0,86.0,13.0,69.0,4.0,Non-New York City
Albany,Cohoes City PD,2013,12.0,270.0,27.0,0.0,1.0,12.0,14.0,243.0,65.0,163.0,15.0,Non-New York City
Albany,Colonie Town PD,2013,12.0,2053.0,63.0,0.0,0.0,31.0,32.0,1990.0,186.0,1753.0,51.0,Non-New York City
Albany,County Total,2013,,9457.0,1006.0,9.0,47.0,293.0,657.0,8451.0,1203.0,6998.0,250.0,Non-New York City
Albany,Green Island Vg PD,2013,12.0,51.0,4.0,0.0,1.0,1.0,2.0,47.0,9.0,33.0,5.0,Non-New York City
Albany,Guilderland Town PD,2013,12.0,686.0,12.0,0.0,3.0,5.0,4.0,674.0,48.0,625.0,1.0,Non-New York City
Albany,Menands Vg PD,2013,12.0,108.0,6.0,0.0,1.0,1.0,4.0,102.0,13.0,88.0,1.0,Non-New York City
Albany,SUNY Police - Albany,2013,12.0,203.0,5.0,0.0,1.0,1.0,3.0,198.0,4.0,194.0,0.0,Non-New York City
Albany,Watervliet City PD,2013,12.0,271.0,27.0,1.0,3.0,11.0,12.0,244.0,58.0,165.0,21.0,Non-New York City
Allegany,Alfred Vg PD,2013,12.0,51.0,5.0,0.0,0.0,3.0,2.0,46.0,10.0,36.0,0.0,Non-New York City
Allegany,Allegany County Sheriff,2013,12.0,10.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,Non-New York City
Allegany,Allegany County State Police,2013,12.0,365.0,21.0,0.0,6.0,0.0,15.0,344.0,124.0,211.0,9.0,Non-New York City
Allegany,Andover Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
Allegany,Angelica Vg PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,Non-New York City
Allegany,Belmont Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
Allegany,Bolivar Vg PD,2013,12.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,Non-New York City
Allegany,County Total,2013,,796.0,54.0,0.0,9.0,4.0,41.0,742.0,194.0,534.0,14.0,Non-New York City
Allegany,Cuba Town PD,2013,12.0,86.0,5.0,0.0,1.0,0.0,4.0,81.0,7.0,72.0,2.0,Non-New York City
Allegany,Friendship Town PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,0.0,Non-New York City
Allegany,Independence Town PD,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,0.0,Non-New York City
Allegany,SUNY Police - Alfred,2013,12.0,73.0,3.0,0.0,1.0,1.0,1.0,70.0,6.0,64.0,0.0,Non-New York City
Allegany,Wellsville Vg PD,2013,12.0,175.0,11.0,0.0,1.0,0.0,10.0,164.0,32.0,129.0,3.0,Non-New York City
Bronx,County Total,2013,12.0,36280.0,13020.0,83.0,189.0,4456.0,8292.0,23260.0,2795.0,19016.0,1449.0,New York City
Broome,Binghamton City PD,2013,12.0,2638.0,286.0,4.0,19.0,101.0,162.0,2352.0,525.0,1771.0,56.0,Non-New York City
Broome,Broome County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
Broome,Broome County Sheriff,2013,12.0,924.0,49.0,3.0,8.0,8.0,30.0,875.0,182.0,669.0,24.0,Non-New York City
Broome,Broome County State Police,2013,12.0,665.0,42.0,0.0,11.0,3.0,28.0,623.0,156.0,448.0,19.0,Non-New York City
Broome,County Total,2013,,6706.0,512.0,8.0,51.0,153.0,300.0,6194.0,1162.0,4903.0,129.0,Non-New York City
Broome,Deposit Vg PD,2013,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,8.0,0.0,Non-New York City
Broome,Endicott Vg PD,2013,12.0,649.0,46.0,0.0,4.0,13.0,29.0,603.0,137.0,455.0,11.0,Non-New York City
Broome,Johnson City Vg PD,2013,12.0,1019.0,69.0,1.0,6.0,20.0,42.0,950.0,111.0,829.0,10.0,Non-New York City
Broome,Port Dickinson Vg PD,2013,12.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,Non-New York City
Broome,SUNY Police - Binghamton,2013,12.0,177.0,4.0,0.0,1.0,2.0,1.0,173.0,6.0,167.0,0.0,Non-New York City
Broome,Vestal Town PD,2013,12.0,588.0,16.0,0.0,2.0,6.0,8.0,572.0,39.0,524.0,9.0,Non-New York City
Cattaraugus,Allegany Vg PD,2013,12.0,13.0,3.0,0.0,0.0,0.0,3.0,10.0,0.0,10.0,0.0,Non-New York City
Cattaraugus,Cattaraugus County Park PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,10.0,0.0,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2013,12.0,524.0,37.0,0.0,6.0,0.0,31.0,487.0,132.0,324.0,31.0,Non-New York City
Cattaraugus,Cattaraugus County State Police,2013,12.0,360.0,15.0,0.0,1.0,3.0,11.0,345.0,58.0,277.0,10.0,Non-New York City
Cattaraugus,Cattaraugus Vg PD,2013,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Non-New York City
Cattaraugus,County Total,2013,,1771.0,115.0,0.0,13.0,11.0,91.0,1656.0,309.0,1285.0,62.0,Non-New York City
Cattaraugus,Ellicottville Town PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
Cattaraugus,Franklinville Vg PD,2013,12.0,33.0,1.0,0.0,0.0,1.0,0.0,32.0,0.0,32.0,0.0,Non-New York City
Cattaraugus,Olean City PD,2013,12.0,633.0,40.0,0.0,5.0,5.0,30.0,593.0,76.0,508.0,9.0,Non-New York City
Cattaraugus,Portville Vg PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,Non-New York City
Cattaraugus,Salamanca City PD,2013,12.0,173.0,18.0,0.0,1.0,2.0,15.0,155.0,38.0,105.0,12.0,Non-New York City
Cayuga,Auburn City PD,2013,12.0,958.0,97.0,1.0,21.0,22.0,53.0,861.0,131.0,723.0,7.0,Non-New York City
Cayuga,Cayuga County Park PD,2013,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,Non-New York City
Cayuga,Cayuga County Sheriff,2013,12.0,262.0,14.0,1.0,1.0,0.0,12.0,248.0,62.0,185.0,1.0,Non-New York City
Cayuga,Cayuga County State Police,2013,12.0,245.0,14.0,0.0,4.0,1.0,9.0,231.0,71.0,157.0,3.0,Non-New York City
Cayuga,County Total,2013,,1517.0,128.0,2.0,26.0,23.0,77.0,1389.0,269.0,1109.0,11.0,Non-New York City
Cayuga,Moravia Vg PD,2013,12.0,18.0,3.0,0.0,0.0,0.0,3.0,15.0,0.0,15.0,0.0,Non-New York City
Cayuga,Weedsport Vg PD,2013,12.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,20.0,0.0,Non-New York City
Chautauqua,Carroll Town PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,Non-New York City
Chautauqua,Chautauqua County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
Chautauqua,Chautauqua County Sheriff,2013,12.0,764.0,24.0,2.0,4.0,6.0,12.0,740.0,241.0,496.0,3.0,Non-New York City
Chautauqua,Chautauqua County State Police,2013,12.0,306.0,18.0,0.0,3.0,1.0,14.0,288.0,66.0,211.0,11.0,Non-New York City
Chautauqua,County Total,2013,,3637.0,274.0,2.0,30.0,65.0,177.0,3363.0,776.0,2540.0,47.0,Non-New York City
Chautauqua,Dunkirk City PD,2013,12.0,349.0,40.0,0.0,0.0,12.0,28.0,309.0,78.0,230.0,1.0,Non-New York City
Chautauqua,Ellicott Town PD,2013,12.0,296.0,8.0,0.0,2.0,1.0,5.0,288.0,53.0,235.0,0.0,Non-New York City
Chautauqua,Fredonia Vg PD,2013,12.0,218.0,10.0,0.0,2.0,5.0,3.0,208.0,26.0,182.0,0.0,Non-New York City
Chautauqua,Jamestown City PD,2013,12.0,1308.0,168.0,0.0,19.0,39.0,110.0,1140.0,281.0,829.0,30.0,Non-New York City
Chautauqua,Lakewood-Busti PD,2013,12.0,342.0,1.0,0.0,0.0,1.0,0.0,341.0,23.0,316.0,2.0,Non-New York City
Chautauqua,Silver Creek Vg PD,2013,3.0,14.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,0.0,Non-New York City
Chautauqua,SUNY Police - Fredonia,2013,12.0,23.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,19.0,0.0,Non-New York City
Chautauqua,Westfield Vg PD,2013,12.0,8.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,0.0,Non-New York City
Chemung,Chemung County Park PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
Chemung,Chemung County Sheriff,2013,12.0,594.0,29.0,0.0,3.0,5.0,21.0,565.0,58.0,500.0,7.0,Non-New York City
Chemung,Chemung County State Police,2013,12.0,293.0,37.0,0.0,2.0,2.0,33.0,256.0,40.0,211.0,5.0,Non-New York City
Chemung,County Total,2013,,2201.0,151.0,0.0,7.0,37.0,107.0,2050.0,351.0,1672.0,27.0,Non-New York City
Chemung,Elmira City PD,2013,12.0,1108.0,81.0,0.0,2.0,29.0,50.0,1027.0,224.0,790.0,13.0,Non-New York City
Chemung,Elmira Heights Vg PD,2013,12.0,91.0,2.0,0.0,0.0,1.0,1.0,89.0,9.0,78.0,2.0,Non-New York City
Chemung,Elmira Town PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
Chemung,Horseheads Vg PD,2013,12.0,112.0,2.0,0.0,0.0,0.0,2.0,110.0,20.0,90.0,0.0,Non-New York City
Chenango,Afton Vg PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,Non-New York City
Chenango,Bainbridge Vg PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
Chenango,Chenango County Sheriff,2013,12.0,360.0,16.0,2.0,7.0,1.0,6.0,344.0,68.0,273.0,3.0,Non-New York City
Chenango,Chenango County State Police,2013,12.0,185.0,14.0,0.0,2.0,2.0,10.0,171.0,58.0,107.0,6.0,Non-New York City
Chenango,County Total,2013,,926.0,48.0,2.0,13.0,4.0,29.0,878.0,164.0,702.0,12.0,Non-New York City
Chenango,Greene Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
Chenango,Norwich City PD,2013,12.0,340.0,15.0,0.0,4.0,0.0,11.0,325.0,25.0,297.0,3.0,Non-New York City
Chenango,Oxford Vg PD,2013,12.0,15.0,2.0,0.0,0.0,1.0,1.0,13.0,1.0,12.0,0.0,Non-New York City
Chenango,Sherburne Vg PD,2013,12.0,16.0,1.0,0.0,0.0,0.0,1.0,15.0,7.0,8.0,0.0,Non-New York City
Clinton,Clinton County Park PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,Non-New York City
Clinton,Clinton County Sheriff,2013,12.0,43.0,12.0,0.0,1.0,0.0,11.0,31.0,0.0,29.0,2.0,Non-New York City
Clinton,Clinton County State Police,2013,12.0,998.0,58.0,3.0,15.0,5.0,35.0,940.0,169.0,742.0,29.0,Non-New York City
Clinton,County Total,2013,,1666.0,111.0,3.0,21.0,9.0,78.0,1555.0,262.0,1254.0,39.0,Non-New York City
Clinton,Plattsburgh City PD,2013,12.0,525.0,41.0,0.0,5.0,4.0,32.0,484.0,80.0,396.0,8.0,Non-New York City
Clinton,SUNY Police - Plattsburgh,2013,12.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,12.0,85.0,0.0,Non-New York City
Columbia,Chatham Vg PD,2013,12.0,35.0,3.0,0.0,0.0,0.0,3.0,32.0,5.0,27.0,0.0,Non-New York City
Columbia,Columbia County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
Columbia,Columbia County Sheriff,2013,12.0,333.0,15.0,0.0,1.0,2.0,12.0,318.0,76.0,236.0,6.0,Non-New York City
Columbia,Columbia County State Police,2013,12.0,294.0,30.0,0.0,6.0,6.0,18.0,264.0,86.0,173.0,5.0,Non-New York City
Columbia,County Total,2013,,1127.0,76.0,0.0,8.0,17.0,51.0,1051.0,207.0,830.0,14.0,Non-New York City
Columbia,Germantown Town PD,2013,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,Non-New York City
Columbia,Greenport Town PD,2013,12.0,219.0,2.0,0.0,0.0,1.0,1.0,217.0,10.0,205.0,2.0,Non-New York City
Columbia,Hudson City PD,2013,12.0,224.0,26.0,0.0,1.0,8.0,17.0,198.0,25.0,172.0,1.0,Non-New York City
Columbia,Stockport Town PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,Non-New York City
Cortland,Cortland City PD,2013,12.0,416.0,18.0,0.0,3.0,3.0,12.0,398.0,88.0,306.0,4.0,Non-New York City
Cortland,Cortland County Sheriff,2013,12.0,431.0,26.0,0.0,7.0,3.0,16.0,405.0,77.0,327.0,1.0,Non-New York City
Cortland,Cortland County State Police,2013,12.0,127.0,4.0,0.0,0.0,2.0,2.0,123.0,28.0,89.0,6.0,Non-New York City
Cortland,County Total,2013,,1064.0,51.0,0.0,12.0,9.0,30.0,1013.0,210.0,791.0,12.0,Non-New York City
Cortland,Homer Vg PD,2013,12.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,29.0,1.0,Non-New York City
Cortland,SUNY Police - Cortland,2013,12.0,57.0,3.0,0.0,2.0,1.0,0.0,54.0,14.0,40.0,0.0,Non-New York City
Delaware,County Total,2013,,806.0,56.0,2.0,7.0,5.0,42.0,750.0,172.0,561.0,17.0,Non-New York City
Delaware,Delaware County Sheriff,2013,12.0,178.0,17.0,0.0,1.0,1.0,15.0,161.0,47.0,113.0,1.0,Non-New York City
Delaware,Delaware County State Police,2013,12.0,260.0,22.0,2.0,1.0,3.0,16.0,238.0,80.0,147.0,11.0,Non-New York City
Delaware,Delhi Vg PD,2013,12.0,37.0,1.0,0.0,0.0,0.0,1.0,36.0,4.0,30.0,2.0,Non-New York City
Delaware,Sidney Vg PD,2013,12.0,195.0,9.0,0.0,4.0,1.0,4.0,186.0,21.0,162.0,3.0,Non-New York City
Delaware,SUNY Police - Delhi,2013,12.0,63.0,1.0,0.0,0.0,0.0,1.0,62.0,3.0,59.0,0.0,Non-New York City
Delaware,Walton Vg PD,2013,12.0,73.0,6.0,0.0,1.0,0.0,5.0,67.0,17.0,50.0,0.0,Non-New York City
Dutchess,Beacon City PD,2013,12.0,320.0,51.0,0.0,0.0,7.0,44.0,269.0,72.0,188.0,9.0,Non-New York City
Dutchess,County Total,2013,,5121.0,584.0,12.0,28.0,150.0,394.0,4537.0,770.0,3629.0,138.0,Non-New York City
Dutchess,Dutchess County MTA,2013,12.0,33.0,1.0,0.0,0.0,1.0,0.0,32.0,0.0,31.0,1.0,Non-New York City
Dutchess,Dutchess County Park PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,14.0,0.0,Non-New York City
Dutchess,Dutchess County Sheriff,2013,12.0,720.0,73.0,0.0,2.0,7.0,64.0,647.0,137.0,484.0,26.0,Non-New York City
Dutchess,Dutchess County State Police,2013,12.0,663.0,85.0,3.0,6.0,10.0,66.0,578.0,131.0,424.0,23.0,Non-New York City
Dutchess,East Fishkill Town PD,2013,12.0,174.0,9.0,1.0,0.0,1.0,7.0,165.0,18.0,141.0,6.0,Non-New York City
Dutchess,Fishkill Town PD,2013,12.0,279.0,3.0,0.0,0.0,1.0,2.0,276.0,28.0,243.0,5.0,Non-New York City
Dutchess,Fishkill Vg PD,2013,12.0,27.0,1.0,0.0,0.0,1.0,0.0,26.0,0.0,26.0,0.0,Non-New York City
Dutchess,Hyde Park Town PD,2013,12.0,198.0,18.0,0.0,3.0,4.0,11.0,180.0,42.0,133.0,5.0,Non-New York City
Dutchess,Millerton Vg PD,2013,12.0,14.0,6.0,0.0,0.0,0.0,6.0,8.0,4.0,4.0,0.0,Non-New York City
Dutchess,Pine Plains Town PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,9.0,2.0,Non-New York City
Dutchess,Poughkeepsie City PD,2013,12.0,1115.0,288.0,7.0,16.0,100.0,165.0,827.0,189.0,590.0,48.0,Non-New York City
Dutchess,Poughkeepsie Town PD,2013,12.0,1379.0,39.0,1.0,1.0,12.0,25.0,1340.0,125.0,1204.0,11.0,Non-New York City
Dutchess,Red Hook Vg PD,2013,12.0,31.0,1.0,0.0,0.0,0.0,1.0,30.0,6.0,24.0,0.0,Non-New York City
Dutchess,Rhinebeck Vg PD,2013,12.0,44.0,2.0,0.0,0.0,0.0,2.0,42.0,0.0,41.0,1.0,Non-New York City
Dutchess,Wappingers Falls Vg PD,2013,12.0,95.0,6.0,0.0,0.0,6.0,0.0,89.0,15.0,73.0,1.0,Non-New York City
Erie,Akron Vg PD,2013,12.0,19.0,3.0,0.0,0.0,0.0,3.0,16.0,1.0,15.0,0.0,Non-New York City
Erie,Amherst Town PD,2013,12.0,2225.0,107.0,1.0,7.0,31.0,68.0,2118.0,204.0,1882.0,32.0,Non-New York City
Erie,Brant Town PD,2013,12.0,35.0,4.0,0.0,0.0,1.0,3.0,31.0,9.0,20.0,2.0,Non-New York City
Erie,Buffalo City PD,2013,12.0,15731.0,3251.0,47.0,150.0,1320.0,1734.0,12480.0,3458.0,8066.0,956.0,Non-New York City
Erie,Cheektowaga Town PD,2013,12.0,2847.0,158.0,0.0,11.0,48.0,99.0,2689.0,345.0,2271.0,73.0,Non-New York City
Erie,County Total,2013,,29295.0,4089.0,55.0,209.0,1501.0,2324.0,25206.0,5222.0,18729.0,1255.0,Non-New York City
Erie,Depew Vg PD,2013,12.0,327.0,17.0,0.0,3.0,2.0,12.0,310.0,54.0,251.0,5.0,Non-New York City
Erie,East Aurora-Town Of Aurora PD,2013,12.0,136.0,5.0,0.0,0.0,2.0,3.0,131.0,24.0,105.0,2.0,Non-New York City
Erie,Eden Town PD,2013,12.0,32.0,1.0,0.0,0.0,0.0,1.0,31.0,7.0,24.0,0.0,Non-New York City
